condition,grid_size,scope,npc_count,knowledge_mode,response_mode,competitor_mode,n,speaker_correct,party_correct,speaker_available,party_available,speaker_direct_coverage,party_direct_coverage,party_knowledge_coverage,median_ms,p95_ms,max_ms,errors,tool_call_rate
v2 single 15 embodied llm,15,single,1,embodied,llm,none,50,0.56,0.56,0.54,0.54,0.46373333333333333,0.46373333333333333,0.46373333333333333,1767.5397088751197,2436.668833019212,2919.468415901065,0,0.7
v2 single 15 embodied slm,15,single,1,embodied,slm,none,50,0.44,0.44,0.54,0.54,0.46373333333333333,0.46373333333333333,0.46373333333333333,2424.410874955356,7801.400610571727,28771.412084810436,0,0.14
v2 single 15 perfect deterministic,15,single,1,perfect,deterministic,none,50,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0039171427488327,0.01124520786106583,0.0656656920909881,0,0.0
v2 single 15 perfect llm,15,single,1,perfect,llm,none,50,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1839.4416039809585,3101.583716971799,6657.159666530788,0,1.0
v2 single 15 perfect slm,15,single,1,perfect,slm,none,50,0.24,0.24,1.0,1.0,1.0,1.0,1.0,3842.773957643658,46507.15444954109,596037.0825827122,0,0.0
v2 single 40 embodied deterministic,40,single,1,embodied,deterministic,none,50,1.0,1.0,0.52,0.52,0.6724,0.6724,0.6724,0.0038123689591883997,0.005172658711671808,0.0075837597250938,0,0.0
v2 single 40 embodied llm,40,single,1,embodied,llm,none,50,0.54,0.54,0.52,0.52,0.6724,0.6724,0.6724,1554.722999688238,2326.9996854010965,2530.8251651003957,0,0.62
v2 single 40 embodied slm,40,single,1,embodied,slm,none,50,0.4,0.4,0.52,0.52,0.6724,0.6724,0.6724,3076.7083959653974,11358.428823435665,29605.460749939084,1,0.1
v2 single 40 perfect deterministic,40,single,1,perfect,deterministic,none,50,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0039581209421157,0.006349477916955887,0.0261664390563964,0,0.0
v2 single 40 perfect llm,40,single,1,perfect,llm,none,50,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1649.5856251567602,2289.5422921515997,4056.0848331078887,0,1.0
v2 single 40 perfect slm,40,single,1,perfect,slm,none,50,0.26,0.26,1.0,1.0,1.0,1.0,1.0,3916.9367495924234,12478.893849672724,26029.608000069857,2,0.0
